ID;Œntrebare;Var_A;Var_B;Var_C;Var_D;Var_E;Raspuns_Corect;Categorie;Punctaj
6540;In unele cazuri, releele protectiei se alimenteaza de la transformatoarele de curent prin intermediul unor transformatoare speciale care au rolul:;de a schimba amplitudinea de armonica a treia a curentului.;de a schimba faza curentului in multipli de 10 grade.;de a schimba frecventa curentului.;de a obtine un curent monofazat din combinarea mai multor curenti primari de amplitudini si faze diferite.;de a amortiza componenta aperiodica a curentului secundar de scurtcircuit.;DE;PROFESIONALA;6
6541;Care din afirmatiile urmatoare sunt adevarate privitor la transformatoarele de egalizare:;Se executa in constructie trifazata.;Au raport de transformare fix.;Au raport de transformare variabil.;Prin alegerea corespunzatoare a clasei de conexiuni a infasurarilor a trei transformatoare monofozate, unghiul de faza al curentilor secundari poate fi modificat cu un multiplu de 10 grade.;Atenueaza armonica a doua a curentului.;BC;PROFESIONALA;2
6543;Calitatea unui filtru de componente simetrice se poate aprecia folosind indicatorii:;Raportul dintre puterea maxima cedata de filtru pentru o valoare oarecare a tensiunii sau a curentului aplicat si puterea totala consumata de filtru.;Raportul dintre puterea maxima cedata de filtru pentru o valoare oarecare a tensiunii sau a curentului aplicat si pierderile de putere active din filtru.;Raportul dintre tensiunea sau curentul de dezechilibru, provocate de abaterea frecventei de la valoarea nominala, corespunzatoare unei tensiuni oarecare U1 (I1) si produsul tensiunii U1 (I1) cu abaterea relativa a frecventei Df/f.;Raportul dintre valoarea maxima a curentului cedat de filtru pentru o valoare oarecare de curent si curentul total consumat de filtru.;Raportul dintre valoarea maxima a tensiunii cedate de filtru pentru o valoare oarecare de tensiune si tensiunea totala consumata de filtru.;ABC;PROFESIONALA;5
6544;Care sunt principalele avantaje ale releelor polarizate folosite in elementele de demaraj ale protectiilor de distanta?;Sensibilitate mare, releele polarizate actionind si la puteri de ordinul a (10 la -2) ....5* (10 la -3) W;Stabilitate termica mare, releele polarizate suportind curenti care depasesc de 100 de ori curentul minim de actionare;Timpul propriu de actionare foarte mic de ordinul 2*(10 la -3) s;Releul actioneaza nu numai la depasirea valorii curentului, ci si la schimbarea sensului de circulatie a acestuia.;"""Partea mobila a releului are inertie mare ceea ce conduce la insensibilizarea† acestuia la socurile de curent"" Partea mobila a releului are inertie mare ceea ce conduce la insensibilizarea acestuia la socurile de curent.";ACD;PROFESIONALA;6
6545;Elementele distinctive ale protectiei contra dublei puneri la pamint tip FRC 2a sunt:;Releul dispune de un filtru la intrarea caruia se aplica curentii liniei ce se protejeaza iar la iesire, apare o marime proportionala cu curentii de secventa inversa.;Releul dispune de un filtru la intrarea caruia se aplica curentii liniei ce se protejeaza iar la iesire, apare o marime proportionala cu curentii de secventa inversa si homopolara.;Releul sesizeaza defectele trifazate simetrice.;Este obligatoriu ca releul sa fie alimentat cu cei trei curenti de faza ai liniei protejate.;Releul este mai sensibil de 2-3 ori decit o protectie maximala de curent datorita filtrului de secventa inversa.;BE;PROFESIONALA;2
6546;Care din schemele de protectie de distanta, cu interdeclansare prin canal de comunicatie (inalta frecventa, fibra optica, etc) asigura declansarea rapida a liniei protejate cu verificarea faptului ca aceasta declansare nu e produsa de un semnal parazit prin canalul de comunicatie?;Schema de protectie de distanta cu interdeclansare directa.;Schema de protectie de distanta cu interdeclansare indirecta.;Schema de protectie de distanta cu interdeclansare cu prelungirea treptei rapide.;Schema de protectie de distanta cu interdeclansare cu semnal de autorizare.;Schema de protectie de distanta cu interdeclansare cu semnal de blocare.;B;PROFESIONALA;3
6547;Care din schemele de protectie de distanta, cu interdeclansare prin canal de comunicatie (inalta frecventa, fibra optica, etc), se utilizeaza indeosebi la liniile cu compensare serie?;Schema de protectie de distanta cu interdeclansare directa.;Schema de protectie de distanta cu interdeclansare indirecta.;Schema de protectie de distanta cu interdeclansare cu prelungirea treptei rapide.;Schema de protectie de distanta cu interdeclansare cu semnal de autorizare.;Schema de protectie de distanta cu interdeclansare cu semnal de blocare.;D;PROFESIONALA;5
6548;La releele tip RDS-3a, numarul calculat de spire wf al infasurarii de franare depinde:;direct proportional de curentul primar maxim de scurtcircuit trifazat exterior, prin infasurarea transformatorului la care este legata bobina de franare.;invers proportional cu raportul reductorilor de curent.;invers proportional cu coeficientul de schema( sau 1).;invers proportional cu eroarea rezultata prin functionarea transformatorului pe plot maxim.;direct proportional cu coeficientul curentului de armonica a doua.;AB;PROFESIONALA;6
6632;Urmatoarele afirmatii despre releul RD 110 sunt false:;"este un releu ""ohm""";"este un releu ""mho""";este un releu de rezistenta generalizata;este un releu de distanta de admitanta mixta;este un releu de distanta de impedanta mixta;BD;PROFESIONALA;5
6633;Urmatoarele afirmatii despre releul D 114 sunt adevarate:;"este un releu ""ohm""";"este un releu ""mho""";este un releu de distanta de admitanta mixta;este un releu de distanta de impedanta mixta;-;AD;PROFESIONALA;5
6634;Referitor la protectia diferentiala longitudinala a unui transformator cu trei infasurari urmatoarele afirmatii sunt adevarate:;curentii de dezechilibru pot avea valori mai mari decat la transformatorul cu doua infasurari;problema socului de magnetizare se pune in acelasi fel ca la transformatorul cu doua infasurari;compensarea defazajului curentilor primari se realizeaza, la conexiuni yd, dupa cu totul alte principii decat la transformatorul cu doua infasurari;-;-;AB;PROFESIONALA;5
6635;Referitor la conditia de selectivitate a instalatiilor de protectii urmatoarele afirmatii sunt adevarate:;instalatiile de protectii trebuie sa actioneze la defecte pe elementele vecine;instalatiile de protectii trebuie sa actioneze la defecte in echipamentul protejat;majoritatea protectiilor actioneaza la defecte pe elementele vecine, iar conditia de selectivitate se obtine prin introducerea unor mijloace suplimentare;-;-;BC;PROFESIONALA;2
6636;In tehnica protectiei prin relee, transformatoarele de masura au rolul de a alimenta cu tensiune, respectiv cu curent, schemele de protectie prin relee. In acest sens ele indeplinesc trei functiuni:;"reducerea tensiunii si a curentului alternativ din instalatiile de forta, la valori convenabile pentru alimentarea releelor (100 sau 110 V respectiv 5 sau 1 A);";"izolarea releelor si a personalului de exploatare de tensiunea inalta a circuitelor primare;";combinarea, in anumite moduri, a marimilor transformate in prealabil pentru a obtine egalizarea rapoartelor acolo unde este cazul.;-;-;AB;PROFESIONALA;6
6637;Avantajele protectiilor cu relee sensibile la curenti homopolari de armonici superioare (RPP,DPP) sunt:;"functionarea lor nu este influentata de modul de tratare al neutrului retelei;";"nu sunt influentate de curentii de dezechilibru ai filtrelor de curent homopolar constituite din trei transformatoare de curent (montaj Holmgreen) sau de erorile transformatoarelor de curent homopolar, inelare;";"selectivitatea mult mai mare ca a protectiilor maximale homopolare;";sunt eficiente pentru eliminarea punerilor la pamant duble pentru linii lungi incarcate, la defecte prin rezistenta mare de trecere.;-;ABC;PROFESIONALA;2
6638;Una dintre conditiile de functionare a protectiei diferentiale a transformatorului este egalitatea curentilor secundari. Trebuie folosite mijloace auxiliare de egalizare atunci cand intre curentii secundari rezultati in circuitele protectiei diferentiale exista o diferenta mai mare decat:;2%;5%;10%;-;-;B;PROFESIONALA;5
6639;Pornirea unei scheme AAR trebuie comandata de:;"scaderea sub o anumita valoare a tensiunii pe bare (in acest caz pornirea se face cu intirziere);";"declansarea unuia dintre intreruptoarele alimentarii normale (in acest caz pornirea se face rapid);";protectia care comanda declansarea intreruptorului liniei principale.;-;-;AB;PROFESIONALA;5
6640;Principiul de functionare al sigurantei fuzibile se bazeaza pe actiunea curentului electric conform legii:;"Joule - Lenz, actiunea termica este proportionala cu patratul curentului;";"Ohm, valoarea curentului de intrerupere este determinata de rezistenta fuzibilului care este mai mare decat a circuitului protejat;";I Kirchhoff, suma curentilor prin nodul de retea reprezentat de siguranta fuzibila trebuie sa fie mai mica decat valoarea fuzibilului.;-;-;A;PROFESIONALA;5
6641;In general un releu este alcatuit din:;elementul sensibil;elementul intermediar (de comparatie);elementul de temporizare;elementul de executie;-;ABD;PROFESIONALA;2
6642;Tensiunea de pas reprezinta tensiunea care apare intre talpile pasilor unui om care se deplaseaza:;in lungul liniei de camp;perpendicular pe linia de camp;cu un picior pe priza de pamant si unul pe sol;cu ambele picioare pe sol;-;A;PROFESIONALA;2
7070;Care din afirmatiile urmatoare sunt valabile la verificarea blocajului la pendulatii, pentru releul de protectie de distanta D114:;Ridicarea caracteristicii se face la o tensiune de 100V si un curent de 5A.;Ridicarea diagramelor releelor SW si SJ, in planul complex, se face prin decalarea curentului notandu-se pozitia stanga sau dreapta a contactului.;Ridicarea diagramelor releelor SW si SJ, in planul complex, se face prin decalarea tensiunii notandu-se pozitia stanga sau dreapta a contactului.;Pentru a obtine diagrama de actionare a blocajului la pendulatii se suprapun diagramele releelor SW si SJ.;-;ACD;PROFESIONALA;6
7071;Care din afirmatiile urmatoare sunt valabile la verificarea blocajului la pendulatii, pentru releul de protectie de distanta D114:;Pentru a obtine diagrama de actionare a blocajului la pendulatii se suprapun diagramele releelor SW si SJ.;Unghiul de blocare al protectiei la pendulatii se situeaza intre: 5-95 grade si 185-275 grade;Ridicarea diagramelor releelor SW si SJ, in planul complex, se face prin decalarea tensiunii notandu-se pozitia stanga sau dreapta a contactului.;Ridicarea diagramelor releelor SW si SJ, in planul complex, se face prin decalarea curentului notandu-se pozitia stanga sau dreapta a contactului.;Pozitia de blocaj se situeaza intre 95-275 grade pt. rel. SW si intre 5-185 grade pt. rel. SJ.;ABCE;PROFESIONALA;6
7076;Tangenta unghiului de pierderi la un trafo de putere, cu Sn>10MVA, se masoara:;In conditii de umiditate mai mica de 85%, cu punti speciale de curent continuu, tip Shering, la 10kV.;In conditii de umiditate mai mare de 85%, cu punti speciale de curent alternativ, tip Shering, la 10kV.;In conditii de umiditate mai mare de 85%, cu punti speciale de curent continuu, tip Shering, la 10kV.;In conditii de umiditate mai mica de 85%, cu punti speciale de curent alternativ, tip Shering, la 10kV.;-;D;PROFESIONALA;3
7078;Masurarea sarcinii secundare a transformatoarelor de curent se efectueaza:;La puneri in functie, cand apar modificari in circuitele secundare si la reviziile tehnice, si trebuie sa respecte conditia Z2n mai mare sau egal cu Z2.;La puneri in functie, cand apar modificari in circuitele secundare si la reviziile tehnice, si trebuie sa respecte conditia Z2 mai mare sau egal cu Z2n.;La puneri in functie, cand apar modificari in circuitele secundare si trebuie sa respecte conditia Z2n>Z2.;La puneri in functie, cand apar modificari in circuitele secundare si trebuie sa respecte conditia Z2n mai mic sau egal decat Z2.;-;C;PROFESIONALA;5
7079;Identificarea infasurarile secundare ale unui trafo de curent se face prin:;Ridicarea caracteristicii de magnetizare.;Valoarea coeficientului de saturatie.;Valoarea sarcinii secundare.;Valoarea rezistentei ohmice secundare;-;AB;PROFESIONALA;5
7082;Rezistenta de izolatie masurata a circuitelor independente( nelegate galvanic) intre ele, precum si intre acestea si pamant, cu un megohmetru de 500 V au valorile de:;2 megohmi pentru circuitele de curent;0,5 megohmi pentru circuitele de tensiune;10 megohmi pentru circuitele de curent;2 megohmi pentru circuitele de tensiune;0,5 megohmi pentru circuitele de tensiune operativa de curent continuu;ABE;PROFESIONALA;5
7084;Verificarea actionarii corecte a schemei DRRI se face:;prin simularea refuzului de declansare a fiecarui intreruptor ( se verifica interactiunea cu protectiile individuale ale fiecarei celule cand acest lucru este posibil si cu protectia barelor colectoare),se verifica selectarea corecta a intreruptoarelor care trebuie declansate in fiecare caz specific;prin simularea refuzului de declansare a unui intreruptor ( se verifica interactiunea cu protectiile cand acest lucru este posibil si cu protectia barelor colectoare), se verifica selectarea corecta a intreruptorului care trebuie declansate in fiecare caz specific.;verificarile se fac la alimentarea cu tensiune operativa corespunzator 0,8UN si 1,1UN;verificarile se fac la alimentarea cu tensiune operativa corespunzator UN;verificarile se fac la alimentarea cu tensiune operativa corespunzator 0,8UN si 1,1UN cat si la alimentarea cu tensiune operativa corespunzator UN;ACDE;PROFESIONALA;3
